Дата и время,Статус код,Доступен,Время отклика (ms),Ошибка
2025-09-25 14:29:28,200,✅,617,
2025-09-25 14:30:29,200,✅,604,
2025-09-25 14:31:30,200,✅,587,
2025-09-25 14:32:30,200,✅,681,
2025-09-25 14:33:31,200,✅,639,
2025-09-25 14:43:30,200,✅,627,
2025-09-25 15:42:38,200,✅,627,
2025-09-25 17:11:45,200,✅,627,
2025-09-25 17:12:45,200,✅,603,
2025-09-25 17:13:46,200,✅,631,
2025-09-25 17:14:46,200,✅,604,
2025-09-25 17:15:47,200,✅,605,
2025-09-25 17:16:48,200,✅,634,
2025-09-25 17:17:48,200,✅,614,
2025-09-25 17:18:49,200,✅,674,
2025-09-25 17:19:50,200,✅,627,
2025-09-25 17:20:50,200,✅,602,
2025-09-25 17:21:51,200,✅,704,
2025-09-25 17:22:52,200,✅,670,
2025-09-25 17:23:52,200,✅,658,
2025-09-25 18:08:12,200,✅,623,
2025-09-25 18:09:49,200,✅,623,
2025-09-25 18:10:20,200,✅,625,
2025-09-25 18:11:20,200,✅,640,
2025-09-25 18:11:59,200,✅,642,
2025-09-25 18:12:46,200,✅,641,
2025-09-25 18:13:47,200,✅,637,
2025-09-25 18:14:47,200,✅,612,
2025-09-25 18:15:48,200,✅,612,
2025-09-25 18:16:49,200,✅,603,
2025-09-25 18:17:49,200,✅,614,
2025-09-25 18:18:50,200,✅,616,
2025-09-25 18:19:50,200,✅,626,
2025-09-25 18:20:51,200,✅,608,
2025-09-25 18:21:52,200,✅,648,
2025-09-25 18:22:52,200,✅,623,
2025-09-25 18:23:53,200,✅,673,
2025-09-25 18:24:54,200,✅,617,
2025-09-25 18:25:54,200,✅,601,
2025-09-25 18:26:55,200,✅,657,
2025-09-25 18:27:56,200,✅,693,
2025-09-25 18:28:56,200,✅,614,
2025-09-25 18:29:57,200,✅,606,
2025-09-25 18:30:58,200,✅,613,
2025-09-25 18:31:58,200,✅,616,
2025-09-25 18:32:59,200,✅,623,
2025-09-25 18:34:00,200,✅,658,
2025-09-25 18:35:00,200,✅,633,
2025-09-25 18:36:01,200,✅,601,
2025-09-25 18:37:01,200,✅,622,
2025-09-25 18:38:02,200,✅,606,
2025-09-25 18:39:03,200,✅,608,
2025-09-25 18:40:03,200,✅,615,
2025-09-25 18:41:04,200,✅,638,
2025-09-25 18:42:05,200,✅,666,
2025-09-25 18:43:05,200,✅,614,
2025-09-25 18:44:06,200,✅,605,
2025-09-25 18:45:07,200,✅,649,
2025-09-25 18:46:07,200,✅,614,
2025-09-25 18:47:08,200,✅,666,
2025-09-25 18:48:10,200,✅,2060,
2025-09-25 18:49:11,200,✅,623,
2025-09-25 18:50:11,200,✅,629,
2025-09-25 18:51:12,200,✅,619,
2025-09-25 18:52:12,200,✅,629,
2025-09-25 18:53:13,200,✅,600,
2025-09-25 18:54:14,200,✅,648,
2025-09-25 18:55:14,200,✅,621,
2025-09-25 18:56:15,200,✅,681,
2025-09-25 18:57:16,200,✅,639,
2025-09-25 18:58:16,200,✅,608,
2025-09-25 18:59:17,200,✅,631,
2025-09-25 19:00:18,200,✅,618,
2025-09-25 19:01:18,200,✅,634,
2025-09-25 19:02:19,200,✅,612,
2025-09-25 19:03:20,200,✅,633,
2025-09-25 19:04:20,200,✅,665,
2025-09-25 19:05:21,200,✅,656,
2025-09-25 19:06:22,200,✅,676,
2025-09-25 19:07:22,200,✅,680,
2025-09-25 19:08:17,200,✅,705,
2025-09-25 19:09:04,200,✅,2310,
2025-09-25 19:09:19,200,✅,2226,
2025-09-25 19:10:19,200,✅,665,
2025-09-25 19:11:20,200,✅,773,
2025-09-25 19:12:21,200,✅,753,
2025-09-25 19:13:22,200,✅,663,
2025-09-25 19:14:22,200,✅,650,
2025-09-25 19:15:23,200,✅,639,
2025-09-25 19:16:24,200,✅,677,
2025-09-25 19:17:24,200,✅,701,
2025-09-25 19:18:25,200,✅,669,
2025-09-25 19:19:26,200,✅,727,
2025-09-25 19:20:27,200,✅,718,
2025-09-25 19:21:27,200,✅,744,
2025-09-25 19:22:28,200,✅,645,
2025-09-25 19:23:29,200,✅,705,
2025-09-25 19:24:29,200,✅,717,
2025-09-25 19:25:30,200,✅,770,
2025-09-25 19:26:31,200,✅,666,
2025-09-25 19:27:32,200,✅,646,
2025-09-25 19:28:32,200,✅,688,
2025-09-25 19:29:33,200,✅,661,
2025-09-25 19:30:34,200,✅,691,
2025-09-25 19:31:35,200,✅,1715,
2025-09-25 19:32:36,200,✅,657,
2025-09-25 19:33:37,200,✅,671,
2025-09-25 19:34:38,200,✅,681,
2025-09-25 19:35:38,200,✅,666,
2025-09-25 19:36:39,200,✅,664,
2025-09-25 19:37:40,200,✅,668,
2025-09-25 19:38:40,200,✅,642,
2025-09-25 19:39:41,200,✅,652,
2025-09-25 19:40:42,200,✅,629,
2025-09-25 19:41:42,200,✅,652,
2025-09-25 19:42:43,200,✅,642,
2025-09-25 19:43:16,200,✅,658,
2025-09-25 19:43:17,200,✅,495,
2025-09-25 19:44:18,200,✅,636,
2025-09-25 19:45:19,200,✅,705,
2025-09-25 19:46:19,200,✅,707,
2025-09-25 19:47:20,200,✅,731,
2025-09-25 19:48:21,200,✅,714,
2025-09-25 19:49:22,200,✅,718,
2025-09-25 19:50:22,200,✅,717,
2025-09-25 19:50:38,,❌,678,
2025-09-25 19:50:39,200,✅,466,
2025-09-25 19:51:40,200,✅,697,
2025-09-25 19:52:40,200,✅,775,
2025-09-25 19:53:41,200,✅,662,
2025-09-25 19:54:42,200,✅,682,
